Fecha,Red de distribución de anuncios,Tipo de concordancia de la consulta,Impresiones,Clics de AdX,Coste,CPM,CPC,CTR,Coste por transacción,Coste por conversión de objetivo,Coste por conversión,RPC,Retorno de la inversión en publicidad (ROAS)
20180708,Google Search,Phrase match,38,0,9024,237473.68421052635,429.7142857142857,0.5526315789473685,0,0,0,0,0
20180708,Google Search,Exact match,88,0,11810,134204.54545454547,513.4782608695651,0.26136363636363635,0,0,0,0,0
20180708,Google Search,Broad match,9,0,1220,135555.55555555556,203.33333333333334,0.6666666666666666,0,0,0,0,0
20180709,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180709,Google Search,Broad match,23,0,8647,375956.52173913043,411.76190476190476,0.9130434782608695,0,0,0,0,0
20180709,Google Search,Exact match,125,0,13679,109432,506.6296296296296,0.216,0,0,0,0,0
20180709,Google Search,Phrase match,120,0,76981,641508.3333333334,1099.7285714285715,0.5833333333333334,0,0,0,0,0
20180710,Google Search,Exact match,786,0,117792,149862.59541984732,647.2087912087912,0.23155216284987276,0,0,0,0,0
20180710,Google Search,Broad match,67,0,27144,405134.32835820894,430.8571428571429,0.9402985074626866,0,0,0,0,0
20180710,Google Search,Phrase match,659,0,491282,745496.2063732928,1104.0044943820224,0.6752655538694993,0,0,0,0,0
20180710,Search partners,Exact match,5,0,0,0,0,0,0,0,0,0,null
20180710,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180710,Search partners,Phrase match,24,0,6934,288916.6666666667,433.375,0.6666666666666666,0,0,0,0,0
20180711,(not set),(not set),0,0,0,0,0,null,0,0,0,0,null
20180711,Google Search,Phrase match,1180,0,500244,423935.593220339,767.2453987730061,0.5525423728813559,0,0,0,0,0
20180711,Google Search,Broad match,130,0,79762,613553.8461538462,664.6833333333334,0.9230769230769231,0,0,0,0,0
20180711,Search partners,Exact match,28,0,1389,49607.142857142855,347.25,0.14285714285714285,0,0,0,0,0
20180711,Search partners,Phrase match,79,0,9789,123911.39240506329,362.5555555555556,0.34177215189873417,0,0,0,0,0
20180711,Google Search,Exact match,1084,0,101486,93621.77121771217,419.3636363636364,0.22324723247232472,0,0,0,0,0
20180712,Search partners,Phrase match,100,0,14332,143320,377.1578947368421,0.38,0,0,0,0,0
20180712,Google Search,Phrase match,1281,0,500729,390889.14910226385,812.8717532467532,0.4808743169398907,0,0,0,0,0
20180712,Google Search,Exact match,1144,0,111489,97455.41958041959,427.1609195402299,0.22814685314685315,0,0,0,0,0
20180712,Google Search,Broad match,160,0,93884,586775,823.5438596491229,0.7125,0,0,0,0,0
20180712,Search partners,Exact match,43,0,1111,25837.209302325584,222.2,0.11627906976744186,0,0,0,0,0
20180713,Search partners,Exact match,50,0,966,19320,193.2,0.1,0,0,0,0,0
20180713,Search partners,Phrase match,87,0,14176,162942.5287356322,405.0285714285714,0.40229885057471265,0,0,0,0,0
20180713,Google Search,Broad match,118,0,64808,549220.3389830509,800.0987654320987,0.6864406779661016,0,0,0,0,0
20180713,Google Search,Exact match,1083,0,109486,101095.10618651894,469.8969957081545,0.21514312096029548,0,0,0,0,0
20180713,Google Search,Phrase match,1326,0,499067,376370.2865761689,794.6926751592357,0.473604826546003,0,0,0,0,0
20180714,Google Search,Exact match,1080,0,92120,85296.29629629629,405.81497797356826,0.2101851851851852,0,0,0,0,0
20180714,Search partners,Phrase match,132,0,13975,105871.21212121211,465.8333333333333,0.22727272727272727,0,0,0,0,0
