Fecha,Dominio del emplazamiento,Tipo de emplazamiento,URL del emplazamiento,Google Ads: grupo de anuncios,Google Ads: espacio publicitario,Anuncios de vídeo TrueView,Usuarios,Sesiones,Duración media de la sesión,Páginas/Sesión,Número de páginas vistas,Porcentaje de rebote
2020-01-17,mobileapp::10002-ca-mb-app-pub-6286023154905236,Automatic placements,mobileapp::10002-ca-mb-app-pub-6286023154905236,Italcombos Segmentacion Display,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-29,mobileapp::2-com.qsoft.acr,Automatic placements,mobileapp::2-com.qsoft.acr,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-23,mobileapp::2-com.fruitheroes.legend,Automatic placements,mobileapp::2-com.fruitheroes.legend,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,ciudadredonda.org,Automatic placements,www.ciudadredonda.org/calendario-lecturas/evangelio-del-dia/hoy,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-13,mobileapp::2-com.twimler.jewelmash,Automatic placements,mobileapp::2-com.twimler.jewelmash,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-27,mobileapp::2-eu.livesport.MisMarcadores_com,Automatic placements,mobileapp::2-eu.livesport.MisMarcadores_com,Italcombos Segmentacion Display,Google Display Network,No,3,5,0.0,1.0,5,1.0
2020-01-06,mobileapp::2-com.billiards.city.pool.nation.club,Automatic placements,mobileapp::2-com.billiards.city.pool.nation.club,Italcombos Segmentacion Display,Google Display Network,No,5,5,0.0,1.0,5,1.0
2020-01-14,mobileapp::2-com.LoopGames.Domino,Automatic placements,mobileapp::2-com.LoopGames.Domino,Italcombos Segmentacion Display,Google Display Network,No,100,124,19.048387096774192,1.1048387096774193,137,0.9354838709677421
2020-01-30,mobileapp::2-com.easybrain.sudoku.android,Automatic placements,mobileapp::2-com.easybrain.sudoku.android,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
2020-01-23,mobileapp::2-com.mobileguru.fruitsbomb.free,Automatic placements,mobileapp::2-com.mobileguru.fruitsbomb.free,Italcombos Segmentacion Display,Google Display Network,No,3,5,0.0,1.0,5,1.0
2020-01-10,mobileapp::2-com.dropdom.blockpuzzle.hwwgame,Automatic placements,mobileapp::2-com.dropdom.blockpuzzle.hwwgame,Anuncios dinámicos Display,Google Display Network,No,3,3,0.0,1.6666666666666667,5,0.0
2020-01-14,nuevamujer.com,Automatic placements,www.nuevamujer.com/moda-belleza/2020/03/14/tendencias-cabello-2020-balayage-toffeee.html,Italcombos Segmentacion Display,Google Display Network,No,3,3,0.0,1.0,3,1.0
